,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,name,project,cluster_alg,tfidf,h_cat_tfidf,links_tfidf,key_words_tfidf,key_phrases_tfidf
122,122,122,122,122,best,food,kmeans_augmented,0.002909724742503893,0.0,0.0,0.0015752658607108118,0.001334458881793082
123,123,123,123,123,beverage,food,kmeans_augmented,0.007719730582243288,0.0,0.004508167644548836,0.0017772632750638535,0.0014342996626305995
124,124,124,124,124,beverage,food,kmeans_plain,0.003006344858337515,0.0,0.0,0.0017827536209715613,0.0012235912373659535
125,125,125,125,125,biologically-based_therapies,food,kmeans_augmented,0.002207751132204872,0.002207751132204872,0.0,0.0,0.0
126,126,126,126,126,biologically-based_therapies,food,kmeans_plain,0.002315588647341499,0.002315588647341499,0.0,0.0,0.0
127,127,127,127,127,biota_by_continent,food,kmeans_plain,0.0020732866200677004,0.0020732866200677004,0.0,0.0,0.0
128,128,128,128,128,biota_of_asia,food,kmeans_augmented,0.00238910281569773,0.00238910281569773,0.0,0.0,0.0
129,129,129,129,129,biota_of_asia,food,kmeans_plain,0.0022828058264839713,0.0022828058264839713,0.0,0.0,0.0
130,130,130,130,130,"birmingham,_alabama",food,kmeans_augmented,0.00628185775155442,0.0,0.00628185775155442,0.0,0.0
131,131,131,131,131,"birmingham,_alabama",food,kmeans_plain,0.00719926811513805,0.0,0.00719926811513805,0.0,0.0
132,132,132,132,132,births_by_decade,food,kmeans_augmented,0.003508220398863936,0.003508220398863936,0.0,0.0,0.0
133,133,133,133,133,births_by_decade,food,kmeans_plain,0.0036846301630021946,0.0036846301630021946,0.0,0.0,0.0
134,134,134,134,134,bitter,food,kmeans_augmented,0.00098406855571404,0.0,0.0,0.0,0.00098406855571404
135,135,135,135,135,black,food,kmeans_augmented,0.0016753446777331596,0.0,0.0,0.0016753446777331596,0.0
136,136,136,136,136,black_pepper,food,kmeans_augmented,0.004200406949574554,0.0,0.004200406949574554,0.0,0.0
137,137,137,137,137,black_pepper,food,kmeans_plain,0.004079433403411015,0.0,0.004079433403411015,0.0,0.0
138,138,138,138,138,boiled,food,kmeans_augmented,0.0011476496205544864,0.0,0.0,0.0,0.0011476496205544864
139,139,139,139,139,bolivia,food,kmeans_augmented,0.004396474806210311,0.0,0.004396474806210311,0.0,0.0
