,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
130,47,kmeans_augmented,4,0.0,1.0,0.0,1,vineyards,0.0,0.0,0.02621828614585324,0.00509101246041435
131,48,kmeans_augmented,4,0.0,1.0,0.0,1,abv,0.0,0.0,0.023020691416002728,0.0043700414566629755
132,49,kmeans_augmented,4,0.0,1.0,0.0,1,liquor,0.0,0.0,0.020818487845280082,0.004064359471429214
133,50,kmeans_augmented,5,0.0,1.0,0.0,1,species,0.0,0.0,0.07147461981716466,0.016385390203669126
134,51,kmeans_augmented,5,0.0,1.0,0.0,1,fish,0.0,0.0,0.0721782803524706,0.013896594002189388
135,52,kmeans_augmented,5,0.0,1.0,0.0,1,fisheries,0.0,0.0,0.10875406188458957,0.010361112875200591
136,53,kmeans_augmented,5,0.0,1.0,0.0,1,females,0.0,0.0,0.10169263535478087,0.009954896204471715
137,54,kmeans_augmented,5,0.0,1.0,0.0,1,sea,0.0,0.0,0.08482097277089698,0.009587254136384678
138,55,kmeans_augmented,5,0.0,1.0,0.0,1,spawning,0.0,0.0,0.09512066232164876,0.008364271010201586
139,56,kmeans_augmented,5,0.0,1.0,0.0,1,males,0.0,0.0,0.08402110063961105,0.007670340080803088
140,57,kmeans_augmented,5,0.0,1.0,0.0,1,caught,0.0,0.0,0.08647332938331706,0.007603882736546896
141,58,kmeans_augmented,5,0.0,1.0,0.0,1,freshwater,0.0,0.0,0.08199059826143942,0.0069877257628987504
142,59,kmeans_augmented,5,0.0,1.0,0.0,1,waters,0.0,0.0,0.07411999661427178,0.006865267501767474
143,60,kmeans_augmented,6,0.0,1.0,0.0,1,plant,0.0,0.0,0.0320447413161883,0.008588164805000667
144,61,kmeans_augmented,6,0.0,1.0,0.0,1,leaves,0.0,0.0,0.03328032100431683,0.008299438004075224
145,62,kmeans_augmented,6,0.0,1.0,0.0,1,fruit,0.0,0.0,0.029598458481757163,0.008237784540862476
146,63,kmeans_augmented,6,0.0,1.0,0.0,1,seeds,0.0,0.0,0.031056123879427473,0.007454814591828039
147,64,kmeans_augmented,6,0.0,1.0,0.0,1,cultivars,0.0,0.0,0.030887652293285613,0.007023121437060497
148,65,kmeans_augmented,6,0.0,1.0,0.0,1,tree,0.0,0.0,0.028992747144494527,0.0066721701532479255
149,66,kmeans_augmented,6,0.0,1.0,0.0,1,flowers,0.0,0.0,0.02753779125102055,0.006138253733335071
150,67,kmeans_augmented,6,0.0,1.0,0.0,1,cultivated,0.0,0.0,0.025529085034440627,0.005603289883610864
151,68,kmeans_augmented,6,0.0,1.0,0.0,1,crop,0.0,0.0,0.02075841909262003,0.004528067797575886
152,69,kmeans_augmented,6,0.0,1.0,0.0,1,cm,0.0,0.0,0.02027632466014115,0.004321978067300429
153,70,kmeans_augmented,0,0.0,1.0,0.0,1,proteins,0.0,0.0,0.0198639643642825,0.003717146982844029
154,71,kmeans_augmented,0,0.0,1.0,0.0,1,safety,0.0,0.0,0.01676900888414401,0.003025891626316105
155,72,kmeans_augmented,2,0.0,1.0,0.0,1,series,0.0,0.0,0.0233453067119533,0.003996982113610471
156,73,kmeans_augmented,5,0.0,1.0,0.0,1,fishing,0.0,0.0,0.09288695227875488,0.00933379090619673
157,74,kmeans_augmented,5,0.0,1.0,0.0,1,carapace,0.0,0.0,0.07706018098181205,0.006200492420613407
158,75,kmeans_augmented,5,0.0,1.0,0.0,1,aquaculture,0.0,0.0,0.07689647857213536,0.00665782233422529
159,76,kmeans_augmented,6,0.0,1.0,0.0,1,species,0.0,0.0,0.02850919245017935,0.008297113008860713
160,0,kmeans_augmented,0,0.0,0.0,1.0,1,effects,0.0,0.0,0.0177215492694129,0.004583530130357793
161,1,kmeans_augmented,0,0.0,0.0,1.0,1,studies,0.0,0.0,0.017441506497975878,0.004382590539339086
162,2,kmeans_augmented,0,0.0,0.0,1.0,1,increase,0.0,0.0,0.014726889011258584,0.00408971529814723
163,3,kmeans_augmented,0,0.0,0.0,1.0,1,health,0.0,0.0,0.015086819606941788,0.003868697327867693
164,4,kmeans_augmented,0,0.0,0.0,1.0,1,processing,0.0,0.0,0.01559690574415898,0.0038050225479524377
165,5,kmeans_augmented,0,0.0,0.0,1.0,1,research,0.0,0.0,0.014850682595550025,0.003746094753356775
166,6,kmeans_augmented,0,0.0,0.0,1.0,1,results,0.0,0.0,0.014386933733498296,0.0036662595284945
167,7,kmeans_augmented,0,0.0,0.0,1.0,1,humans,0.0,0.0,0.01609589446954116,0.003625879457745429
168,8,kmeans_augmented,0,0.0,0.0,1.0,1,acids,0.0,0.0,0.015241729923516582,0.00362419166608676
169,9,kmeans_augmented,0,0.0,0.0,1.0,1,industry,0.0,0.0,0.013315984624308806,0.0036215236315774455
