article_id,label_id
183,1541
183,1542
183,1543
183,1544
183,1545
183,1546
183,1547
183,1548
183,1549
183,1550
183,1551
184,353
184,1552
184,1553
184,1554
184,1555
184,1556
184,1557
184,1558
184,233
184,1559
184,1560
184,1561
184,1562
184,1563
184,1564
184,1565
184,1566
184,1567
185,1568
185,291
185,1569
185,1570
185,1571
185,124
185,1572
185,1573
185,1574
185,1575
185,1576
185,1577
185,1578
185,1579
185,1580
185,1581
185,1582
185,1283
185,1583
185,1584
185,1043
185,1585
186,1586
186,1167
186,1587
186,127
186,1588
186,682
186,1102
186,1589
187,1590
187,1591
187,1592
187,1593
187,1594
187,1595
187,1596
187,1597
187,1598
188,1009
188,1599
188,1600
188,1601
188,1602
189,1603
189,912
189,1604
189,1605
189,1606
189,1607
189,1608
189,1609
189,1610
189,1611
189,1412
190,1612
190,445
190,1613
190,1614
190,1615
190,1616
190,1617
190,445
190,1618
190,1619
190,1620
190,1621
190,1622
190,1623
190,1624
190,751
190,1625
190,1626
190,1627
190,54
190,876
190,585
190,1628
190,182
190,1629
190,1630
190,1631
190,1632
190,762
190,1633
190,353
190,1634
190,1635
190,1636
190,1631
190,1637
191,152
191,649
191,1638
192,1639
192,196
192,1640
192,1641
192,1642
192,1643
192,1644
192,1645
192,1646
192,55
192,1647
192,1648
192,1649
192,1650
192,1651
192,1652
192,1653
192,1654
192,1655
193,1656
193,1657
193,1658
193,1659
193,1660
193,1661
193,1662
193,1663
194,1664
194,1665
194,1666
194,1667
194,1668
194,1669
194,1670
195,1671
195,1672
195,1673
195,317
195,1674
195,1675
195,1676
195,1677
196,1678
196,1679
196,1680
196,1681
197,445
197,1682
197,1683
197,1684
197,1685
197,1686
197,218
197,1687
197,1688
197,1689
197,1690
197,1691
197,1692
197,1693
197,1694
197,1695
197,1696
197,1697
197,1698
197,1699
197,1700
197,1701
197,1702
197,1703
197,1704
197,1705
197,1706
198,1586
198,1588
198,1707
198,1708
199,1709
199,1710
200,1711
200,1712
200,1049
200,1713
200,1714
200,320
200,1715
201,1716
201,1717
201,1718
201,1719
201,1720
201,1721
201,1722
201,1723
201,624
202,1724
202,21
202,1725
202,795
202,1726
202,1727
202,1728
202,1729
202,1730
202,1731
203,1680
203,1732
203,1733
204,1734
204,1735
204,1736
204,1737
204,1738
204,1739
204,1740
204,1741
204,1742
205,1743
205,1744
205,1745
205,1746
205,1747
205,1748
205,1749
205,1750
205,1751
205,1752
206,876
206,1753
206,1537
206,1754
206,1755
206,1756
206,1757
206,1758
207,1759
207,1760
207,1761
207,1762
207,1763
207,1764
207,1734
207,1735
207,1765
208,302
208,1766
208,1767
209,1768
209,307
209,1769
209,37
209,1770
209,1771
209,1193
209,1772
209,653
209,1773
209,1774
209,1775
209,1776
209,1777
209,1778
209,1779
209,147
209,1780
209,1781
209,1782
209,1452
209,1783
209,1784
209,302
209,310
209,869
209,720
209,1785
210,1786
210,1680
210,1787
210,1788
210,1789
210,1790
210,1484
210,1791
211,1720
211,1792
211,656
211,1793
211,1794
211,601
211,594
211,1795
211,1796
211,1797
