,project,cluster_alg,cluster_num,label_name,exposures,count,share,borda,avg_borda
140,food,kmeans_augmented,1,dishes,29,14,0.4827586206896552,52,1.793103448275862
141,food,kmeans_augmented,1,cheese,29,3,0.10344827586206896,9,0.3103448275862069
142,food,kmeans_augmented,1,meat,29,3,0.10344827586206896,8,0.27586206896551724
143,food,kmeans_augmented,1,dish,29,10,0.3448275862068966,34,1.1724137931034482
144,food,kmeans_augmented,1,occur,29,2,0.06896551724137931,7,0.2413793103448276
145,food,kmeans_augmented,1,cooked,29,7,0.2413793103448276,26,0.896551724137931
146,food,kmeans_augmented,1,beef,29,0,0.0,0,0.0
147,food,kmeans_augmented,1,served,29,4,0.13793103448275862,9,0.3103448275862069
148,food,kmeans_augmented,1,preparation,29,2,0.06896551724137931,4,0.13793103448275862
149,food,kmeans_augmented,1,salmon,29,1,0.034482758620689655,2,0.06896551724137931
150,internet,kmeans_augmented,0,internet_protocols,12,8,0.6666666666666666,25,2.0833333333333335
151,internet,kmeans_augmented,0,report,12,0,0.0,0,0.0
152,internet,kmeans_augmented,0,internet_engineering_task_force,12,4,0.3333333333333333,9,0.75
153,internet,kmeans_augmented,0,ipv6,12,2,0.16666666666666666,8,0.6666666666666666
154,internet,kmeans_augmented,0,telecommunications,12,5,0.4166666666666667,14,1.1666666666666667
155,internet,kmeans_augmented,0,internet_protocol,12,5,0.4166666666666667,17,1.4166666666666667
156,internet,kmeans_augmented,0,packet,12,0,0.0,0,0.0
157,internet,kmeans_augmented,0,internet_architecture,12,5,0.4166666666666667,16,1.3333333333333333
158,internet,kmeans_augmented,0,block,12,0,0.0,0,0.0
159,internet,kmeans_augmented,0,rfc,12,0,0.0,0,0.0
160,internet,kmeans_augmented,0,protocol,12,4,0.3333333333333333,8,0.6666666666666666
161,internet,kmeans_augmented,0,law,12,0,0.0,0,0.0
162,internet,kmeans_augmented,0,internet_standards,12,2,0.16666666666666666,7,0.5833333333333334
163,internet,kmeans_augmented,0,networking_standards,12,7,0.5833333333333334,26,2.1666666666666665
164,internet,kmeans_augmented,0,internet_service_provider,12,3,0.25,12,1.0
165,internet,kmeans_augmented,0,network,12,4,0.3333333333333333,11,0.9166666666666666
166,internet,kmeans_augmented,0,wikipedia,12,2,0.16666666666666666,8,0.6666666666666666
167,internet,kmeans_augmented,0,state,12,0,0.0,0,0.0
168,internet,kmeans_augmented,0,transmission_control_protocol,12,4,0.3333333333333333,14,1.1666666666666667
169,internet,kmeans_augmented,0,provide,12,0,0.0,0,0.0
170,technology,LDA,6,history,12,4,0.3333333333333333,13,1.0833333333333333
171,technology,LDA,6,construction,24,14,0.5833333333333334,38,1.5833333333333333
172,technology,LDA,6,large,12,0,0.0,0,0.0
173,technology,LDA,6,machine,12,1,0.08333333333333333,2,0.16666666666666666
174,technology,LDA,6,references,12,1,0.08333333333333333,2,0.16666666666666666
175,technology,LDA,6,early,12,0,0.0,0,0.0
176,technology,LDA,6,works,12,3,0.25,5,0.4166666666666667
177,technology,LDA,6,tools,12,3,0.25,11,0.9166666666666666
178,technology,LDA,6,century,12,0,0.0,0,0.0
179,technology,LDA,6,machines,12,6,0.5,22,1.8333333333333333
180,technology,LDA,6,iron,12,1,0.08333333333333333,4,0.3333333333333333
181,technology,LDA,6,steel,12,1,0.08333333333333333,1,0.08333333333333333
182,technology,LDA,6,design,12,4,0.3333333333333333,11,0.9166666666666666
183,technology,LDA,6,history_of_technology,12,4,0.3333333333333333,18,1.5
184,technology,LDA,6,hardlines_(retail),12,0,0.0,0,0.0
185,technology,LDA,6,kent,12,3,0.25,9,0.75
186,technology,LDA,6,england,12,1,0.08333333333333333,4,0.3333333333333333
187,technology,LDA,6,mill,12,0,0.0,0,0.0
188,technology,LDA,6,tool,12,4,0.3333333333333333,12,1.0
189,technology,LDA,6,work,12,1,0.08333333333333333,3,0.25
190,technology,LDA,6,equipment,12,5,0.4166666666666667,14,1.1666666666666667
191,technology,LDA,6,industrial_revolution,12,5,0.4166666666666667,20,1.6666666666666667
192,internet,LDA,2,company,32,8,0.25,19,0.59375
193,internet,LDA,2,online,32,19,0.59375,63,1.96875
194,internet,LDA,2,entertainment_websites,32,15,0.46875,59,1.84375
195,internet,LDA,2,awards,32,1,0.03125,4,0.125
196,internet,LDA,2,app,32,1,0.03125,5,0.15625
197,internet,LDA,2,launched,32,1,0.03125,3,0.09375
198,internet,LDA,2,video,32,3,0.09375,9,0.28125
199,internet,LDA,2,united_states,32,2,0.0625,2,0.0625
200,internet,LDA,2,official,32,0,0.0,0,0.0
201,internet,LDA,2,ebay,32,1,0.03125,2,0.0625
202,internet,LDA,2,websites_by_topic,32,9,0.28125,28,0.875
