,label,tfidf,pmi,augmented,LDA,plain,share,avg_borda,h_cat_tfidf,h_cat_pmi,links_tfidf,links_pmi,key_words_tfidf,key_words_pmi,key_phrases_tfidf,key_phrases_pmi,lda_tfidf,lda_pmi
382,platform,0.004284115916342465,0.015144424854656691,1,0,1,0.21428571428571427,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.004284115916342465,0.015144424854656691,0.0,0.0
383,politics_of_the_united_states,0.004559107949050802,0.01619845674802734,1,0,1,0.3076923076923077,0.9230769230769232,0.004559107949050802,0.01619845674802734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,polymer,0.014159357034121231,0.06134282100004746,1,1,1,0.13636363636363635,0.4545454545454545,0.0,0.0,0.014159357034121231,0.06134282100004746,0.0,0.0,0.003877952651146231,0.01658848541397719,0.0,0.0
385,pork,0.01882283078618716,0.062190040233188276,1,1,1,0.1153846153846154,0.3076923076923077,0.0,0.0,0.01882283078618716,0.062190040233188276,0.0,0.0,0.0,0.0,0.0,0.0
386,post,0.0046387500687328975,0.01735458539199591,1,0,1,0.13333333333333333,0.4,0.0,0.0,0.0,0.0,0.0046387500687328975,0.01735458539199591,0.0,0.0,0.0,0.0
387,power,0.00570093609359334,0.025224958074649282,0,1,0,0.2307692307692308,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.00570093609359334,0.025224958074649282,0.0,0.0
388,preparation,0.006787266496061837,0.020416368467746457,1,1,1,0.2307692307692308,0.7307692307692307,0.0,0.0,0.0,0.0,0.006787266496061837,0.020416368467746457,0.0,0.0,0.0,0.0
389,president,0.0035896568789262084,0.010071797182606677,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0035896568789262084,0.010071797182606677,0.0,0.0,0.0,0.0
390,pressure,0.01534573083172935,0.06869459223620726,1,1,1,0.05882352941176471,0.14285714285714285,0.0,0.0,0.01534573083172935,0.06869459223620726,0.0,0.0,0.006147975803805532,0.028479987638068808,0.0,0.0
391,primary_industries,0.03182139419297974,0.1981482688247786,1,0,1,0.0,0.0,0.03182139419297974,0.1981482688247786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,printing,0.008347591688450727,0.03433157743871207,1,0,1,0.047619047619047616,0.19047619047619047,0.0,0.0,0.008347591688450727,0.03433157743871207,0.0,0.0,0.002590241280034817,0.01036570076426608,0.0,0.0
